Ticker,Company,PercentOfFund
AAPL,Apple Inc,5.89
MSFT,Microsoft Corp,5.79
AMZN,Amazon.com Inc,4.71
FB,Facebook Inc,2.17
GOOGL,Alphabet Inc Class A,1.7
GOOG,Alphabet Inc Class C,1.66
JNJ,Johnson & Johnson,1.47
BRK.B,Berkshire Hathaway Inc,1.39
V,Visa Inc,1.22
PG,Procter & Gamble Company,1.16
Others,Other Companies,72.84
