Ticker,Company,PercentOfFund
AAPL,Apple Inc,12.15
MSFT,Microsoft Corp,11.20
AMZN,Amazon.com Inc,10.75
FB,Facebook Inc,4.24
GOOGL,Alphabet Inc,3.80
GOOG,Alphabet Inc,3.71
TSLA,Tesla Inc,2.58
INTC,Intel Corp,2.36
NVDA,NVIDIA Corp,2.33
NFLX,Netflix Inc,2.01
