Date,Close,Volume,Open,High,Low
07/17/2020,259.42,35137870,259.71,260.31,257.17
07/16/2020,259.12,47594110,257.97,259.78,255.62
07/15/2020,260.9,54523870,261.68,262.69,257.49
07/14/2020,260.37,72230510,256.07,260.79,252.76
07/13/2020,258.54,64108090,266.87,269.79,257.69
07/10/2020,263.97,32885300,262,264.23,259.26
07/09/2020,262.18,40312910,261.89,262.87,257.63
07/08/2020,259.99,30426270,258,260.02,256.5
07/07/2020,256.61,36578190,258.1,260.88,256.3
