Sector,PercentOfFund
Technology,31.96
Healthcare,14.79
Consumer Cyclicals,13.46
Financials,13.15
Industrials,9.1
Consumer Non-Cyclicals,6.92
Utilities,3.26
Energy,2.96
Basic Materials,2.43
Telecommunications Services,1.98
